Marca temporal,"Despois de ler a información sobre o estudo, acepta participar de forma voluntaria? ",Idade  ,Sexo, Anos de experiencia profesional en enfermaría  , Nivel educativo  ,  Área Sanitaria na que traballa  ,Ámbito de traballo,"Con que frecuencia usa tecnoloxía dixital na súa práctica clínica fora dos programas corporativos?   ""A tecnoloxía dixital inclúe calquera ferramenta electrónica ou software que empregue na súa práctica clínica, como historias clínicas electrónicas, aplicacións de xestión de pacientes, plataformas de teleconsulta, sistemas de prescrición electrónica, dispositivos de monitorización dixital ou ferramentas de apoio á toma de decisións clínicas baseadas en datos"".  ",En que medida comprende o concepto de Intelixencia Artificial (IA)?  ,Usa IA no seu traballo para planificar ou realizar coidados?  ,Recibiu formación en IA ou educación previa sobre este tema?  ,Gustaríalle recibir formación sobre IA en saúde?  ,Que importancia lle dá á formación en intelixencia artificial para o seu desenvolvemento profesional?  ,1.Creo que o uso da IA na miña especialidade podería mellorar a atención aos pacientes.  ,2. Creo que o uso da IA na miña especialidade podería mellorar a toma de decisións clínicas   ,3.Creo que a IA pode mellorar os indicadores de saúde da poboación  ,4.Creo que a IA pode cambiar o meu papel como profesional sanitario no futuro  ,5.Creo que a introdución da IA pode reducir o custo económico asociado ao meu traballo   ,6.Creo que algún día a IA poderá formar parte do meu traballo como profesional sanitario    ,7.Creo que a maioría dos profesionais sanitarios están preparados para a introdución da tecnoloxía baseada en IA      ,8.Creo que recibín unha formación adecuada para usar IA no meu traballo        ,9.Creo que existe un marco ético para o uso da tecnoloxía baseada en IA no meu lugar de traballo        ,"10.Creo que, se a tecnoloxía baseada en IA comete un erro, toda a responsabilidade recae no profesional sanitario  ","Que desafíos considera como os principais obstáculos para a integración da IA na súa práctica clínica?  (Falta de formación, dúbidas na ética, implementación, infraestructura, desembolso económico e demáis temáticas que considere importantes)","En que áreas de formación sobre IA estaría interesado/a recibir capacitación? (""Ningunha"" ou ""non sei"" tamén son respostas válidas)"
23/03/2025 11:58:19,Sí,28,Muller,1-5 anos,Máster,Pontevedra-Salnés,Rural,Ás veces,Bastante,Non,Ningunha,Sí,Importante,De acordo,Totalmente de acordo,Totalmente de acordo,De acordo,De acordo,Totalmente de acordo,En desacordo,En desacordo,En desacordo,De acordo,Sobre todo a infraestructura para que a sua implementación sexa realmente eficaz.,Optimización de obxetivos ou tratamentos de doentes crónicos.
24/03/2025 12:56:02,Sí,58,Muller,>10 anos,Grado,Ourense-Verín-O Barco,Urbano,Nunca,Pouco,Non,Ningunha,Sí,Algo importante,Totalmente de acordo,De acordo,Totalmente de acordo,Totalmente de acordo,De acordo,De acordo,De acordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Falta de formación,Non sei
24/03/2025 13:30:28,Sí,34,Home,>10 anos,Máster,Vigo,Urbano,Sempre,Bastante,Sí,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,Totalmente de acordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,En desacordo,De acordo,Falta de formación e implementacion ,Aplicación de la IA en la práctica 
24/03/2025 13:30:41,Sí,37,Muller,>10 anos,Máster,Lugo-A Mariña-Monforte,Urbano,Sempre,Algo,Non,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,De acordo,De acordo,"Falta de desenvolvemento, falta de formación, falta dun marco lexislativo actualizado",En calquera ámbito da enfermaria de Atención Primaria
24/03/2025 13:36:59,Sí,49,Muller,>10 anos,Máster,Santiago-Barbanza,Urbano,Raramente,Algo,Non sei,Formación no traballo,Sí,Algo importante,De acordo,Totalmente de acordo,Totalmente de acordo,De acordo,De acordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,De acordo,De acordo,"Falta formación, económico, implementación por parte das administraciósn ","Investigacion, coidados, IA na consulta"
24/03/2025 14:47:41,Sí,30,Muller,6-10 anos,Máster,Vigo,Urbano,Sempre,Bastante,Sí,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,Totalemnte en desacordo,En desacordo,Todas as mencionadas,.
24/03/2025 14:52:54,Sí,37,Muller,>10 anos,Grado,Pontevedra-Salnés,Urbano,Ás veces,Algo,Non sei,Ningunha,Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,Totalmente de acordo,Totalmente de acordo,Formación ,Non sei
24/03/2025 14:55:35,Sí,25,Muller,1-5 anos,Grado,Santiago-Barbanza,Urbano,Raramente,Pouco,Non sei,Ningunha,Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,En desacordo,Nin de acordo nin en desacordo,En desacordo,FALTA DE FORMACION,NON SEI
24/03/2025 14:58:08,Sí,33,Home,6-10 anos,Máster,Vigo,Rural,Frecuentemente,Bastante,Non,Ningunha,Sí,Importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,En desacordo,Totalmente de acordo,Hai moitos,Non sei
24/03/2025 15:09:06,Sí,29,Muller,6-10 anos,Máster,Ferrol,Urbano,Raramente,Algo,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,De acordo,En desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,.,.
