Marca temporal,"Despois de ler a información sobre o estudo, acepta participar de forma voluntaria? ",Idade  ,Sexo, Anos de experiencia profesional en enfermaría  , Nivel educativo  ,  Área Sanitaria na que traballa  ,Ámbito de traballo,"Con que frecuencia usa tecnoloxía dixital na súa práctica clínica fora dos programas corporativos?   ""A tecnoloxía dixital inclúe calquera ferramenta electrónica ou software que empregue na súa práctica clínica, como historias clínicas electrónicas, aplicacións de xestión de pacientes, plataformas de teleconsulta, sistemas de prescrición electrónica, dispositivos de monitorización dixital ou ferramentas de apoio á toma de decisións clínicas baseadas en datos"".  ",En que medida comprende o concepto de Intelixencia Artificial (IA)?  ,Usa IA no seu traballo para planificar ou realizar coidados?  ,Recibiu formación en IA ou educación previa sobre este tema?  ,Gustaríalle recibir formación sobre IA en saúde?  ,Que importancia lle dá á formación en intelixencia artificial para o seu desenvolvemento profesional?  ,1.Creo que o uso da IA na miña especialidade podería mellorar a atención aos pacientes.  ,2. Creo que o uso da IA na miña especialidade podería mellorar a toma de decisións clínicas   ,3.Creo que a IA pode mellorar os indicadores de saúde da poboación  ,4.Creo que a IA pode cambiar o meu papel como profesional sanitario no futuro  ,5.Creo que a introdución da IA pode reducir o custo económico asociado ao meu traballo   ,6.Creo que algún día a IA poderá formar parte do meu traballo como profesional sanitario    ,7.Creo que a maioría dos profesionais sanitarios están preparados para a introdución da tecnoloxía baseada en IA      ,8.Creo que recibín unha formación adecuada para usar IA no meu traballo        ,9.Creo que existe un marco ético para o uso da tecnoloxía baseada en IA no meu lugar de traballo        ,"10.Creo que, se a tecnoloxía baseada en IA comete un erro, toda a responsabilidade recae no profesional sanitario  ","Que desafíos considera como os principais obstáculos para a integración da IA na súa práctica clínica?  (Falta de formación, dúbidas na ética, implementación, infraestructura, desembolso económico e demáis temáticas que considere importantes)","En que áreas de formación sobre IA estaría interesado/a recibir capacitación? (""Ningunha"" ou ""non sei"" tamén son respostas válidas)"
31/03/2025 11:26:26,Sí,30,Muller,6-10 anos,Doutorado,Santiago-Barbanza,Rural,Sempre,Pouco,Non sei,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,De acordo,Totalemnte en desacordo,En desacordo,De acordo,"Falta de formación, dificultade para a comprobación de veracidade e literatura da que se alimente a IA, sesgos na elección da alimentación da IA (diversidade, individualizacións, casos raros...)",Opinións clínicas. 
31/03/2025 11:27:43,Sí,51,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Sempre,Bastante,Non,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,Totalmente de acordo,Nin de acordo nin en desacordo,Totalmente de acordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,De acordo,"falta de formación, de motivación y motivos presupuestarios",Todo lo relacionado para favorecer y mejorar los cuidados a los pacientes crónicos.
31/03/2025 11:31:13,Sí,41,Muller,>10 anos,Máster,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Algo importante,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,Totalmente de acordo,De acordo,De acordo,En desacordo,Totalemnte en desacordo,Totalemnte en desacordo,De acordo,concienciar os profesionais sobre as suas ventaxas e formación no seu uso. os profesionais non deben deixar toda a decisión nas IAs e manter o seu criterio humano,ferramentas para uso IA no coidado das feridas ou para axuda en certas técnicas diagnósticas.
31/03/2025 11:32:30,Sí,49,Home,>10 anos,Grado,Santiago-Barbanza,Rural,Sempre,Algo,Non,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,En desacordo,De acordo,De acordo,Falta formación,Todas as posibles
31/03/2025 11:46:44,Sí,46,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Algo,Non,Ningunha,Sí,Importante,De acordo,Nin de acordo nin en desacordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,De acordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,Falta de formación y presupuesto,En las relacionadas con mi trabajo diario que me pueda ayudar
31/03/2025 11:55:08,Sí,57,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Sempre,Algo,Sí,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,Nin de acordo nin en desacordo,De acordo,De acordo,Totalmente de acordo,De acordo,De acordo,En desacordo,En desacordo,En desacordo,De acordo,"Mais formación, infraestructura e mais colaboración por todas las partes","Non sei, coido que non nacin coa tecnoloxia, e costame moito todo o referente a IA"
31/03/2025 12:16:12,Sí,49,Home,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Totalmente,Sí,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,a proteccion de datos,Uso de prompts sanitarios
31/03/2025 12:32:25,Sí,46,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,De acordo,Falta de formacion,Non sei
31/03/2025 12:53:30,Sí,28,Muller,1-5 anos,Máster,Santiago-Barbanza,Urbano,Ás veces,Bastante,Non,Ningunha,Sí,Importante,Totalmente de acordo,De acordo,Totalmente de acordo,De acordo,De acordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,De acordo,En desacordo,Falta de formación e de implementación,En todas
31/03/2025 12:53:55,Sí,57,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,En desacordo,En desacordo,"Falta de formación,e dúbidas na ética",no sei
31/03/2025 13:06:41,Sí,49,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non sei,Ningunha,Sí,Algo importante,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,De acordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Todos os que suxerides pero sobre todo a falta de formación . Sorprendeme que sigamos por exemplo con problemas de conectividade nos CS do rural e sin poder usar os MESI a menos que usemos os nosos propios datos móviles e estemos falando de IA,Teño un coñecemento bastante básico sobre a aplicación da IA no campo da enfermaría 
31/03/2025 13:09:23,Sí,41,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Nunca,Pouco,Non,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,En desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,"A falta de formación dos profesionais. Hai que ter en conta que os cursos do Sergas son moi limitados, con poucas prazas. Non nos forman en aspectos básicos como RCP, que é algo primordial, co cal dubido moito que nos formen en IA. O principal obstáculo é que o propio Sergas non ten interese en formarnos.",Non pode opinar nesta cuestión xa que non teño os coñecementos necesarios para elo.
31/03/2025 13:13:45,Sí,34,Muller,1-5 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Algo,Sí,Ningunha,Sí,Importante,De acordo,De acordo,Nin de acordo nin en desacordo,En desacordo,De acordo,De acordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,"Falta de formación a todos os niveis, así como dificil integración no día a día",non sei
31/03/2025 13:29:23,Sí,24,Home,1-5 anos,Grado,Santiago-Barbanza,Urbano,Ás veces,Bastante,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,De acordo,"Falta de formación, aspectos éticos en la confidencialidad de los datos del paciente y la implementación",Funcionamiento y modelos de la IA 
31/03/2025 13:40:18,Sí,62,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Sempre,Bastante,Non sei,Formación no traballo,Sí,Importante,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,En desacordo,Totalemnte en desacordo,Totalemnte en desacordo,De acordo,Todos. Preparacion cero,non sei
31/03/2025 13:47:04,Sí,40,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Raramente,Pouco,Non,Ningunha,Sí,Pouco importante,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,En desacordo,De acordo,En desacordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Falta de formación,non sei
31/03/2025 13:50:51,Sí,56,Muller,>10 anos,Máster,Santiago-Barbanza,Urbano,Ás veces,Bastante,Non,Ningunha,Sí,Algo importante,En desacordo,Nin de acordo nin en desacordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,Totalemnte en desacordo,En desacordo,Totalmente de acordo,"Falta de formación, y falta de seguridad en resultados, sólo he utilizado IA en preparación de clases y he detectado varios errores, y en radiografía que es lo único que he visto en relación con el trabajo no me parece que garantice 100% resultados fiables",el conocimiento no está de más en cualquiera de las áreas de mi trabajo pero no es un tema que me interese especialmente. 
31/03/2025 14:05:16,Sí,39,Muller,6-10 anos,Grado,Santiago-Barbanza,Urbano,Ás veces,Algo,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Algo importante,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,En desacordo,De acordo,formación e económica,Non o sei
31/03/2025 14:12:19,Sí,35,Muller,>10 anos,Máster,Santiago-Barbanza,Urbano,Ás veces,Pouco,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,"Falta de formación, dúbidas na ética, implementación",Saúde
31/03/2025 14:13:10,Sí,63,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Sempre,Algo,Non,Ningunha,Sí,Importante,Nin de acordo nin en desacordo,De acordo,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,Totalmente de acordo,De acordo,falta de formación e infraestructura,non sei
31/03/2025 15:04:50,Sí,48,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Ás veces,Algo,Non,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,Totalmente de acordo,De acordo,De acordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,Totalmente de acordo,"a parte de todas las del enunciado, si esto implica una dismucion de la plantilla los profesionales se  opondran a esta tema ","enfermeria comunitaria, enfermeria areas especiales "
31/03/2025 15:26:55,Sí,40,Home,>10 anos,Grado,Santiago-Barbanza,Rural,Ás veces,Totalmente,Non sei,Ningunha,Sí,Algo importante,Totalmente de acordo,De acordo,De acordo,De acordo,De acordo,Totalmente de acordo,De acordo,Totalmente de acordo,De acordo,De acordo,todos,non sei 
31/03/2025 16:26:00,Sí,46,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Nunca,Pouco,Non sei,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,Totalemnte en desacordo,En desacordo,Totalmente de acordo,"formacion,etica e economia",non sei
31/03/2025 16:57:09,Sí,56,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Sempre,Algo,Non sei,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,"Falta de formación, polo menos no meu caso.",non o sei
31/03/2025 17:31:34,Sí,38,Home,>10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Algo,Non,Ningunha,Sí,Pouco importante,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,falla de formación,non sei
31/03/2025 19:10:03,Sí,46,Home,>10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Bastante,Non,Ningunha,Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,En desacordo,De acordo,Aspectos ético-legais,Non sei
31/03/2025 19:10:09,Sí,53,Muller,>10 anos,Máster,Santiago-Barbanza,Urbano,Frecuentemente,Totalmente,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,Totalmente de acordo,Totalmente de acordo,Nin de acordo nin en desacordo,COSTE Y LEGISLACIÓN POR DESARROLLAR,SANITARIAS TODAS
31/03/2025 19:10:20,Sí,46,Home,>10 anos,Máster,Santiago-Barbanza,Rural,Ás veces,Bastante,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,Totalemnte en desacordo,De acordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,Totalmente de acordo,"Falla de formación do persoal e en que grao se pretende implementar a IA, como soporte a decisións clínicas ou obviando a responsabilidade profesional e asisencial por parte dos servizos de saúde.",IA aplicado ao manexo de feridas ou na toma de decisións en situacións de pacientes críticos
31/03/2025 20:09:16,Sí,59,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Pouco,Sí,Ningunha,Sí,Importante,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,Totalmente de acordo,En desacordo,"falta de formación, desemboloso económico",non sei
31/03/2025 21:09:18,Sí,37,Muller,>10 anos,Máster,Santiago-Barbanza,Rural,Ás veces,Pouco,Non sei,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,En desacordo,Nin de acordo nin en desacordo,En desacordo,DESEMBOLSO ECONOMICO E FALTA DE FORMACION,NON SEI 
1/04/2025 7:34:56,Sí,58,Home,>10 anos,Grado,Santiago-Barbanza,Rural,Ás veces,Pouco,Non sei,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,De acordo,De acordo,Totalmente de acordo,Nin de acordo nin en desacordo,En desacordo,De acordo,De acordo,En principio falta de formación,Nin idea
1/04/2025 8:06:13,Sí,26,Muller,1-5 anos,Grado,Santiago-Barbanza,Urbano,Ás veces,Algo,Non,Ningunha,Sí,Algo importante,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Totalmente de acordo,Totalemnte en desacordo,En desacordo,Nin de acordo nin en desacordo,Totalmente de acordo,Falta de formación y desarrollo,Recomendaciones al paciente
1/04/2025 8:26:23,Sí,67,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Nunca,Pouco,Non sei,Ningunha,Sí,Algo importante,Nin de acordo nin en desacordo,En desacordo,De acordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,Infraestructura,Non sei
1/04/2025 8:34:52,Sí,58,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Ás veces,Bastante,Non,Ningunha,Sí,Moi importante,Totalmente de acordo,De acordo,De acordo,De acordo,En desacordo,De acordo,De acordo,Totalemnte en desacordo,De acordo,En desacordo,FAlta de formacion,Non sei
1/04/2025 9:04:50,Sí,50,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Bastante,Non,Ningunha,Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,En desacordo,De acordo,En desacordo,Totalemnte en desacordo,En desacordo,En desacordo,En primer lugar el miedo al uso de tecnologías en profesionales muy veteranos y al miedo/desconocimiento sobre los aspectos éticos. Por otro lado las inseguridades que algunos profesionales tienen  de ser prescindibles con la utilización de IA,"Todas aquellas que faciliten la toma de decisiones y agilicen las mismas, así como las que ayuden a unificar criterios"
1/04/2025 10:21:07,Sí,54,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Sempre,Algo,Non sei,Ningunha,Sí,Pouco importante,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,En desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,En desacordo,De acordo,falta de información e infraestructura,non sei
1/04/2025 10:42:36,Sí,27,Muller,6-10 anos,Grado,Santiago-Barbanza,Rural,Ás veces,Algo,Sí,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,De acordo,En desacordo,Nin de acordo nin en desacordo,En desacordo,Falta de formación,En todas
1/04/2025 11:00:15,Sí,41,Home,>10 anos,Grado,Santiago-Barbanza,Urbano,Sempre,Algo,Non,Ningunha,Sí,Algo importante,Nin de acordo nin en desacordo,De acordo,De acordo,De acordo,De acordo,De acordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,falta de formación,non sei
1/04/2025 11:53:13,Sí,49,Muller,>10 anos,Máster,Santiago-Barbanza,Rural,Sempre,Bastante,Sí,Formación no traballo,Sí,Moi importante,Totalmente de acordo,De acordo,De acordo,En desacordo,Nin de acordo nin en desacordo,Totalmente de acordo,De acordo,De acordo,De acordo,En desacordo,Desembolso económico e implementación,"Manejo de heridas (SEMP, medidores del lecho de la herida, etc.)"
1/04/2025 12:50:46,Sí,61 anos,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Raramente,Algo,Non,Ningunha,Sí,Algo importante,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,En desacordo,Totalemnte en desacordo,En desacordo,En desacordo,"implementacion de infraestructuras , falta de formación",non sei
1/04/2025 12:56:15,Sí,46,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Sempre,Bastante,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalmente de acordo,"Falta de formación, dúbidas na ética, implementación, infraestructura, desembolso económico","adaptada a miña especialidade , e posto de traballo."
1/04/2025 19:32:05,Sí,52,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non sei,Ningunha,Sí,Algo importante,Nin de acordo nin en desacordo,En desacordo,De acordo,Nin de acordo nin en desacordo,En desacordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,Totalmente de acordo,Totalemnte en desacordo,falta de formación ,non sei
2/04/2025 8:22:33,Sí,32,Muller,1-5 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Bastante,Sí,Ningunha,Sí,Algo importante,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,En desacordo,Totalemnte en desacordo,En desacordo,Nin de acordo nin en desacordo,FALTA DE FORMACIÓN,DOSIFICACIÓN MEDICACIÓN
2/04/2025 9:35:16,Sí,58,Home,>10 anos,Grado,Santiago-Barbanza,Rural,Raramente,Algo,Non,Formación no traballo,Sí,Importante,De acordo,De acordo,Totalmente de acordo,Totalmente de acordo,De acordo,Totalmente de acordo,Nin de acordo nin en desacordo,En desacordo,En desacordo,De acordo,Falta de formación e falta de compromiso,formación integral con un amplio abanico de posibilidades
2/04/2025 9:54:06,Sí,32,Muller,>10 anos,Máster,Santiago-Barbanza,Rural,Ás veces,Algo,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,Totalmente de acordo,De acordo,De acordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Falta de formación e dúbidas na ética,Calquera que poida resultar beneficiosa para o traballo de Enfermería
2/04/2025 10:36:16,Sí,47,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Pouco,Non sei,Ningunha,Sí,Importante,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,En desacordo,Totalmente de acordo,Nin de acordo nin en desacordo,POLA MIÑA PARTE A FALTA DE FORMACION E DUBIDAS,NON SEI
2/04/2025 10:42:24,Sí,28,Muller,1-5 anos,Máster,Santiago-Barbanza,Rural,Sempre,Bastante,Non,Ningunha,Sí,Algo importante,Nin de acordo nin en desacordo,De acordo,De acordo,Totalmente de acordo,De acordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,En desacordo,Nin de acordo nin en desacordo,"Dudas na ética, individualización a situación social/vital do paciente, historias clínicas con toda a información relevante para que de maneira automática con IA se generase a solución a un problema social ou de saúde.",Desconozco as áreas de formación.
2/04/2025 11:08:44,Sí,60,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Nada,Sí,Ningunha,Sí,Importante,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,Totalmente de acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,Totalmente de acordo,Todas as citadas anteriormente ,Non sei
2/04/2025 11:29:57,Sí,58,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non sei,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,falta de formación,non sei
2/04/2025 13:30:28,Sí,64,Muller,>10 anos,Grado,Lugo-A Mariña-Monforte,Rural,Frecuentemente,Algo,Non sei,Ningunha,Sí,Moi importante,De acordo,Totalmente de acordo,Totalmente de acordo,De acordo,De acordo,Totalmente de acordo,De acordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,Falta de informació. Falta de formación. implementación ,non teño capcidade para saber contestar esta pregunta. Supoño que empezando polo mais básico 
2/04/2025 14:21:09,Sí,56,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non sei,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Algo importante,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,De acordo,Nin de acordo nin en desacordo,En desacordo,Totalmente de acordo,Nin de acordo nin en desacordo,"falta formación ,ética ,infraestructura",non sei
2/04/2025 18:16:34,Sí,63,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Bastante,Sí,Formación no traballo,Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,De acordo,Nin de acordo nin en desacordo,desembolso económico y otros,non sei
3/04/2025 8:14:35,Sí,46,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Ás veces,Bastante,Non,Ningunha,Sí,Importante,De acordo,Totalmente de acordo,Totalmente de acordo,De acordo,De acordo,Totalmente de acordo,Nin de acordo nin en desacordo,En desacordo,De acordo,Nin de acordo nin en desacordo,Principalmente falta de formación,Non sei
3/04/2025 13:29:47,Sí,53,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Bastante,Non,Ningunha,Sí,Importante,De acordo,De acordo,Totalmente de acordo,De acordo,De acordo,De acordo,En desacordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,Falta de formación y consecuencias en toma de decisiones.,Estoy abierta a toda las posibilidades.
4/04/2025 14:36:34,Sí,53,Muller,>10 anos,Máster,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,De acordo,De acordo,De acordo,Totalmente de acordo,De acordo,De acordo,En desacordo,En desacordo,En desacordo,Totalemnte en desacordo,"FALTA D EINFORMACIÓN, DIFICULTAD EN LA INFRAESTRUCTURA E IMPLEMENTACIÓN",TOMA DE DECISIONES CLÍNICAS
5/04/2025 10:38:17,Sí,52,Muller,>10 anos,Máster,Santiago-Barbanza,Rural,Sempre,Bastante,Sí,Formación no traballo,Sí,Algo importante,En desacordo,Nin de acordo nin en desacordo,En desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,En desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,En desacordo,De acordo,tipo de población,non sei
7/04/2025 19:25:55,Sí,54,Muller,>10 anos,Grado,Santiago-Barbanza,Urbano,Raramente,Algo,Non sei,Ningunha,Sí,Algo importante,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,Falta de formación. Dúbidas na ética,Non sei
21/04/2025 17:07:00,Sí,31,Muller,6-10 anos,Grado,Pontevedra-Salnés,Urbano,Sempre,Algo,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,De acordo,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,En desacordo,De acordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,De acordo,"Falta formación, dilema ético, confidencialidade",En calquera tema relacionado ca saude
24/04/2025 10:49:54,Sí,26,Home,1-5 anos,Grado,Santiago-Barbanza,Rural,Sempre,Bastante,Non,Ningunha,Sí,Moi importante,De acordo,De acordo,De acordo,En desacordo,En desacordo,Totalmente de acordo,De acordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,"Falta de formación, dúbidas en confiar nas novas tecnoloxías, custe económico...",En moitas
24/04/2025 12:24:22,Sí,35,Muller,6-10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Algo,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Nin de acordo nin en desacordo,Totalmente de acordo,De acordo,En desacordo,dúbidas e falta de formación,non sei
25/04/2025 19:25:01,Sí,47,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Ás veces,Algo,Non,Ningunha,Sí,Algo importante,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,En desacordo,"Falta formación , economia",No sé 
